97.45 	691.56 	3177.47 	4635.61 	25489.35 	72641.03 	250230.85 	1485455.45 	1485172.77 	812.46 
101.76 	920.36 	15768.01 	3708.48 	280681.44 	30220.98 	6397722.85 	572076.30 	571978.86 	1185.68 
98.21 	894.76 	8824.03 	6182.06 	78489.57 	53157.32 	1615678.85 	1057980.51 	1058386.64 	894.41 
98.79 	694.00 	12996.11 	2672.94 	66489.37 	11927.44 	1028936.04 	109382.97 	60690.05 	995.97 
98.56 	702.45 	11696.53 	4707.07 	154598.09 	22076.09 	3363655.63 	405832.86 	118129.15 	908.55 
100.20 	710.93 	7633.63 	4769.92 	126277.46 	22329.44 	2703258.22 	119729.25 	216557.41 	1077.18 
101.48 	314.59 	8607.20 	2706.11 	110368.80 	12060.06 	1224102.61 	208988.72 	209097.89 	1198.11 
100.19 	519.65 	7371.93 	3373.74 	36023.50 	15317.51 	692681.86 	143554.87 	143564.01 	1045.43 
99.33 	898.74 	4053.46 	3572.39 	33303.55 	29029.92 	485494.01 	288341.61 	417792.16 	999.64 
100.62 	313.40 	14805.29 	1105.48 	261993.08 	7900.52 	4520830.22 	100341.02 	100317.12 	1120.31 
99.53 	900.85 	10014.96 	3619.53 	170371.34 	16553.33 	2844736.17 	86486.34 	226269.33 	998.51 
99.28 	696.88 	9779.69 	6666.33 	165895.02 	32169.52 	1898414.88 	467511.47 	612350.06 	975.70 
100.83 	921.30 	15022.06 	6404.52 	203493.66 	55282.89 	3444389.19 	841871.35 	1104399.19 	1134.36 
98.90 	705.51 	3845.15 	2734.49 	31471.18 	12178.17 	314866.36 	211286.27 	111900.65 	963.95 
101.30 	514.91 	8720.68 	1925.70 	111950.57 	14632.93 	1243055.62 	197701.83 	136646.12 	1213.37 
100.31 	706.58 	7481.50 	4740.00 	123458.07 	22292.34 	2009374.96 	410231.41 	119354.47 	1058.94 
100.84 	921.79 	4531.23 	6388.44 	70903.30 	30709.03 	759145.97 	581928.25 	582114.38 	1105.75 
101.39 	728.04 	12443.98 	2843.99 	114482.44 	12721.99 	1272970.17 	169385.23 	117330.77 	1208.89 
100.10 	710.16 	4379.69 	6805.26 	68296.02 	58993.78 	1058933.03 	1185125.46 	622129.42 	1075.08 
98.46 	888.31 	3606.49 	8784.80 	54970.49 	78216.72 	837038.04 	461143.36 	1609539.11 	903.12 
99.64 	300.68 	13322.28 	2545.01 	68441.01 	11214.45 	1392370.95 	147484.25 	147608.74 	1021.30 
99.21 	308.02 	13056.67 	1106.40 	174466.74 	7872.31 	2003503.66 	130679.18 	130698.77 	1002.86 
100.40 	904.65 	7500.25 	3628.45 	123876.50 	29485.39 	2017173.17 	161572.14 	425001.37 	1062.18 
99.49 	711.98 	4268.49 	6822.70 	50759.59 	59144.84 	767672.48 	341421.94 	906000.07 	1054.16 
101.12 	927.11 	11312.07 	3700.62 	148953.99 	17003.02 	1690750.48 	89047.18 	232975.96 	1111.76 
101.03 	708.69 	7992.77 	4754.23 	70393.94 	39797.15 	1435750.14 	406055.66 	223013.83 	1122.69 
99.50 	312.75 	4230.71 	1876.24 	19598.42 	14203.24 	188015.37 	132205.43 	191245.16 	1038.08 
99.37 	304.99 	10460.99 	2590.42 	178787.04 	20283.70 	2056998.26 	369951.39 	369928.04 	1039.56 
99.96 	709.47 	14187.97 	2753.23 	190938.42 	12277.64 	3216759.61 	213153.82 	62616.35 	1077.71 
100.16 	314.72 	11302.18 	1113.64 	57209.20 	4517.17 	601640.87 	54143.86 	70590.28 	1110.26 
99.01 	701.49 	3896.69 	2703.88 	18006.65 	12057.96 	324543.07 	61448.58 	209041.50 	974.37 
100.94 	920.73 	12109.07 	9134.78 	61580.15 	45413.42 	946871.34 	257265.30 	468419.94 	1182.96 
