陆家嘴中央公寓 3室2厅 1490万,1490
满五唯一免征个税+地铁6号线+明珠+空地建设,768
御上海精装修一室，房东降价出售，看房有钥匙满5唯1,280
全屋带地暖+满五唯一+不靠马路+交通便利+采光好,358
诚售上外房产  满五唯一  南北直通透  满五唯一,1120
满五唯一 一梯两户得房率高 开放式厨房,335
愉景华庭 3室2厅 780万,780
世博花园满五唯一 大两房 无个税,940
二期大四房，满五惟一，买进价高税少，诚意卖，随时看,1580
价格可谈，满五年唯一，不靠路，有钥匙，交通方便,940
华丽家族古北花园 3室2厅 2750万,2750
上海花城 3室2厅 980万,980
新领地 1室1厅 390万,390
单价低，近地铁，满五唯一，次高层，有钥匙,1000
锦汇苑 2室2厅 950万,950
仁恒南北通大四房，同户型最正气，满五唯一，免个税,2050
《新出对口名校》《近地铁》《采光足》《家具全送》,680
有钥匙随时可以看，满五年唯一，精装修，拎包入住、,355
保利西子湾 2室2厅 416万,416
劲爆消息：陆家嘴1级藏品全城瞩目，5090万入住中粮！,5090
南北通透，户型正气，业主诚心出售，价格可谈。,490
上海花城 3室2厅 945万,945
南北通透，满五年唯一，看房有钥匙诚意出售,1100
金桥爱建园 3室2厅 1150万,1150
满五唯一，户型方正，高区景观，单价低，房东急售...,1160
店长精心推荐：小区精装三房两厅两卫,690
沿河位置，满五唯一，随时可看， 房东诚意出售,470
黄陵小区 7号线地铁 交通便利 满五唯一 有钥匙 随时看,272
陆家嘴滨江住宅，汇豪天下单价总价双低，近期必卖！,1150
精装两室两厅 南北通透 落地窗 高楼层 满五年唯一税少,360
陆家嘴中央公寓 3室2厅 1490万,1490
满五唯一免征个税+地铁6号线+明珠+空地建设,768
御上海精装修一室，房东降价出售，看房有钥匙满5唯1,280
全屋带地暖+满五唯一+不靠马路+交通便利+采光好,358
诚售上外房产  满五唯一  南北直通透  满五唯一,1120
愉景华庭 3室2厅 780万,780
满五唯一 一梯两户得房率高 开放式厨房,335
价格可谈，满五年唯一，不靠路，有钥匙，交通方便,940
世博花园满五唯一 大两房 无个税,940
二期大四房，满五惟一，买进价高税少，诚意卖，随时看,1580
华丽家族古北花园 3室2厅 2750万,2750
上海花城 3室2厅 980万,980
新领地 1室1厅 390万,390
单价低，近地铁，满五唯一，次高层，有钥匙,1000
精装两室两厅 南北通透 落地窗 高楼层 满五年唯一税少,360
3房2厅 满五年唯一住房 精装修无抵押 看房方便,720
汇颂南苑 1室1厅 215万,215
地铁口全南户型，视野开阔采光好，无个税，诚意急售,720
两南一北，高区大三房，业主新房已定单价5.5万急抛！,850
《新出对口名校》《近地铁》《采光足》《家具全送》,680
有钥匙随时可以看，满五年唯一，精装修，拎包入住、,355
保利西子湾 2室2厅 416万,416
劲爆消息：陆家嘴1级藏品全城瞩目，5090万入住中粮！,5090
南北通透，户型正气，业主诚心出售，价格可谈。,490
锦汇苑 2室2厅 950万,950
仁恒南北通大四房，同户型最正气，满五唯一，免个税,2050
陆家嘴滨江住宅，汇豪天下单价总价双低，近期必卖！,1150
联洋花园(一期) 3室2厅 1050万,1050
全南俩房 全明户型 业主诚意出售 随时看房,435
老静安品质小区 干挂石材外观 全南户型带车位带墙暖,1290
上海花城 3室2厅 945万,945
南北通透，满五年唯一，看房有钥匙诚意出售,1100
金桥爱建园 3室2厅 1150万,1150
满五唯一，户型方正，高区景观，单价低，房东急售...,1160
店长精心推荐：小区精装三房两厅两卫,690
劲爆消息：陆家嘴1级藏品全城瞩目，5090万入住中粮！,5090
南北通透，户型正气，业主诚心出售，价格可谈。,490
锦汇苑 2室2厅 950万,950
房子虽不大，品质不会差！想念不如相见。,510
3房2厅 满五年唯一住房 精装修无抵押 看房方便,720
汇颂南苑 1室1厅 215万,215
地铁口全南户型，视野开阔采光好，无个税，诚意急售,720
两南一北，高区大三房，业主新房已定单价5.5万急抛！,850
房子正气采光好  满五唯一没有税费,258
江桥二村 2室1厅 233万,233
值得关注！两房朝南，边套户型厨卫全明，生活配套成熟,460
松云水苑+上师大校+万达广场+大学城地铁+MW唯一,415
无个税，高区景观棒，业主诚意出售，看房方便！,850
单价低，满五唯一 ，通透全明户型，双卫双阳台,850
内环内 闹中取静 小高层南北通 一梯两户  靠谱户型,838
新江湾城，两房两厅一卫835万，精装带花园看房方便，,835
业主诚意卖房.价格还有空间.到价签字,650
在阳台可看中间花园，品质板式三房，看房有钥匙,1020
满五年唯一，楼层好，新装修，拎包入住,889
湾流域带露台两房、价格只需650.,650
恒大华城天地苑 3室2厅 800万,800
12号地铁口，明强西校精装两房满五唯壹，二楼出入方便,438
精装三房，近轨交一号线，带产权车位,535
人民广场板块+高区南北通三房+苏州河景观+钥匙房！,1350
奥园三期花园位置 楼层好 精装保养好 满五唯一,395
满五年唯一，楼层好，新装修，拎包入住,889
