appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-团购,爱团房,0,,1082,暂无,Android 2.2.x 以上,11.33MB,2015年12月09日,1.2.7
网上购物-团购,红包一元云购,1,北京汇兴玮艺文化发展有限公司,1275,100.00%,Android 3.0.0 以上,5.67MB,2016年12月14日,1.0.9
网上购物-团购,0750团购网,0,江门市致一科技有限公司,1.7万,暂无,Android 2.1.0 以上,4.67MB,2014年11月11日,2.0
网上购物-团购,康绿全网,1,广西康绿全信息科技有限公司,724,100.00%,Android 4.2.x 以上,28.65MB,2017年12月20日,1.0
网上购物-团购,工地宝,0,广联达软件股份有限公司,405,暂无,Android 4.2.x 以上,5.78MB,2017年05月16日,2.3.0
网上购物-团购,3D上班族大逆袭,0,,568,暂无,Android 2.3.2 以上,23.43MB,2016年12月19日,3.9
网上购物-团购,北京动物园导游,0,广州市驴迹科技有限责任公司,429,暂无,Android 4.1.x 以上,24.57MB,2017年11月14日,1.1.2
网上购物-团购,益路同行,0,中国石油天然气集团公司,4275,暂无,Android 4.4.4 以上,19MB,2018年01月10日,4.0.3
网上购物-团购,折扣宝团购大全,0,北京世纪一家网电子商务有限公司,1.7万,暂无,Android 2.3.7 以上,3.29MB,2015年02月06日,3.8.0
网上购物-商城-团购-优惠,"仙踪林-东单店的团购,优惠...",0,,360,暂无,Android 2.2.x 以上,2.02MB,2015年11月28日,1.2
网上购物-团购,手机店,0,北京梦搜移动通信技术有限公司,1575,暂无,Android 2.3.7 以上,2.16MB,2014年09月02日,1.0
网上购物-团购,哈哈团购,0,聊城哈哈网络科技有限公司,255,暂无,Android 2.3.7 以上,9.33MB,2016年04月29日,4.7.11
网上购物-商城-团购,聚美汇,0,,480,暂无,Android 2.2.x 以上,4.62MB,2016年08月27日,2.0
网上购物-团购,幸运兔脚,0,南京夏恒网络系统有限公司,113,暂无,Android 4.0.3 以上,28.14MB,2017年03月17日,1.7
网上购物-团购,团多多商家,0,府谷县光速网络科技有限公司,1200,暂无,Android 3.0.0 以上,2.16MB,2017年06月12日,2.3.2
网上购物-团购,周边店,0,点成科技,2340,暂无,Android 2.2.x 以上,1.82MB,2014年09月02日,1.4.0
网上购物-团购,阳夏团,0,太康县阳夏传媒有限公司,4.4万,暂无,Android 2.1.0 以上,11.29MB,2015年12月10日,2.8.0
网上购物-团购,城市门户商家,0,河南前沿电子商务有限公司,1470,暂无,Android 2.3.7 以上,3.6MB,2017年03月28日,1.8.2
网上购物-团购,赚享淘,0,广西神域网络科技有限公司,632,暂无,Android 4.0.2 以上,12.03MB,2017年11月23日,1.1.2
网上购物-商城-团购,保税国际,0,河南恒度信息科技有限公司,1245,暂无,Android 2.2.x 以上,11.36MB,2015年12月11日,1.2.2
网上购物-团购,宜嘉医生,0,河南欣宜嘉医疗科技有限公司,810,暂无,Android 4.0.3 以上,22.88MB,2017年11月08日,2.2.2
网上购物-团购,爽联手机控制APP,0,广州市海笛索信息科技有限公司,315,暂无,Android 3.0.0 以上,7.49MB,2017年06月15日,3.8
网上购物-团购,貂蝉团,0,艾建,3840,暂无,Android 1.6.0 以上,1.75MB,2014年09月02日,2.2.123.0.1
网上购物-团购,批多多,0,河南批多多电子商务有限公司,5145,暂无,Android 2.2.x 以上,26MB,2017年04月25日,3.9.4
网上购物-团购-优惠,买优生活,0,南通买优信息科技有限公司,375,暂无,Android 2.1.0 以上,5.68MB,2014年09月10日,v1.6.0
网上购物-商城-团购-优惠,16993団购,0,江苏浚泉优活科技股份有限公司,240,暂无,Android 3.0.0 以上,1.81MB,2015年11月05日,1.4
网上购物-团购,大圣闪送,0,襄城县微生活网络有限公司,546,暂无,Android 4.0.2 以上,10.18MB,2018年03月06日,v8_8
网上购物-团购,现金帐户,0,来自互联网,874,暂无,Android 2.3.7 以上,31.25KB,2014年09月02日,1.0.2
网上购物-团购,制衣网,0,王雄辉,555,暂无,Android 2.1.0 以上,7.78MB,2015年01月31日,1.0
网上购物-商城-团购,乐享生活,0,湖南乐享生活租赁服务有限公司,990,暂无,Android 2.3.2 以上,16.71MB,2015年11月26日,2.0.6
网上购物-团购,菜快跑,0,耒阳市飞马网络科技有限公司,770,暂无,Android 4.0.2 以上,11.62MB,2018年01月10日,10.00.0001
网上购物-商城-团购,一家购物,0,,942,暂无,Android 2.3.7 以上,11.25MB,2015年12月09日,4.7.3
网上购物-团购,牛股先锋,0,北京中资北方投资顾问有限公司,3990,暂无,Android 4.0.2 以上,3.26MB,2017年10月23日,2.1.2
网上购物-团购,徽品云店员,0,安徽徽品云熵信息科技有限公司,225,暂无,Android 4.0.2 以上,9.94MB,2018年01月29日,1.0.0
网上购物-商城-团购,Ucafe,0,重庆云微软件有限公司,660,暂无,Android 4.0.3 以上,18.93MB,2016年08月02日,2.0.4.6
网上购物-商城-团购,爱妈咪孕婴童生活馆,0,南昌掌沃信息科技有限公司,631,暂无,Android 2.2.x 以上,1.27MB,2016年02月29日,1.0
网上购物-团购,塞上团,0,,268,暂无,Android 2.1.0 以上,6.56MB,2016年08月28日,v2.0.2
网上购物-团购,Anti-Virus,0,,1065,暂无,Android 2.3.7 以上,8.89MB,2016年08月28日,1.0
网上购物-团购,民权天天团,0,李力,968,暂无,Android 2.1.0 以上,5.17MB,2014年09月02日,v1.6.0
网上购物-团购,爱锡盟,0,锡林浩特市易动力网络有限责任公司,1.4万,暂无,Android 2.3.7 以上,14.89MB,2016年07月27日,2.9
网上购物-团购,521团购,0,,213,暂无,Android 2.2.x 以上,4.28MB,2016年08月28日,2.1
网上购物-团购,爱身边商家,0,珲春爱身边网络科技有限公司,345,暂无,Android 2.3.2 以上,1.62MB,2015年04月18日,1.1.3
网上购物-团购-优惠,头妈团,0,,315,暂无,Android 2.1.0 以上,9.58MB,2015年12月09日,2.6.2
网上购物-团购,酷炫荧光指南针:AndroiTS Compass Pro,0,,1009,暂无,Android 4.0.2 以上,1.55MB,2016年08月29日,2.11 Pro
网上购物-团购,西秦商家,0,四川智周万维信息科技有限公司,2190,暂无,Android 2.2.x 以上,1.34MB,2015年09月20日,2.4
网上购物-商城-团购-优惠,宿团网,0,宿迁报业网络传媒有限公司,834,暂无,Android 2.2.x 以上,7.09MB,2015年06月08日,4.4.16
网上购物-团购-优惠,酷集商户端,0,六盘水酷集电子商务有限公司,628,暂无,Android 4.0.2 以上,8.54MB,2017年07月04日,1.0.20160919
网上购物-团购,沃的商户,0,山东喆百电子商务有限公司,555,暂无,Android 4.1.x 以上,6.75MB,2017年07月17日,1.1.1
网上购物-团购,评道,0,杭州畅撸科技有限公司,751,暂无,Android 2.2.x 以上,8.3MB,2018年04月09日,1.2.21
网上购物-商城-团购-优惠,新颜会员通,0,,258,暂无,Android 2.2.x 以上,3.29MB,2015年07月15日,1.0
网上购物-团购,叮当有房,0,,322,暂无,Android 2.2.x 以上,8.83MB,2015年08月05日,1.0
网上购物-商城-团购-优惠,佳美生活,0,泰安佳美生活电子商务有限公司,960,暂无,Android 3.0.0 以上,7.07MB,2016年03月12日,1.3.8
网上购物-商城-团购,司科团购商家,0,郑州司科计算机科技有限公司,123,暂无,Android 1.6.0 以上,3.58MB,2016年08月02日,04.02.0005
网上购物-商城-团购,易批购,0,云南牛众信息科技有限公司,814,暂无,Android 3.2.x 以上,20.74MB,2016年08月04日,2.0
网上购物-团购,众鑫团商家,0,鹤壁市奇迹企业营销策划有限公司,290,暂无,Android 3.0.0 以上,1.63MB,2016年02月25日,2.3.3
网上购物-团购,瑞安湖岭团购,0,,459,暂无,Android 1.6.0 以上,6.25MB,2015年04月07日,04.01.0006
网上购物-商城-团购-优惠,快商店,0,智趣生活社区服务（北京）有限公司,1635,暂无,Android 4.0.2 以上,8.96MB,2016年06月04日,1.1.1
网上购物-商城-团购-优惠,齐民农圣,0,寿光齐民农圣网络科技有限公司,349,暂无,Android 4.0.3 以上,3.27MB,2017年08月29日,2.1.5
网上购物-团购,中国工程加固,0,,466,暂无,Android 2.2.x 以上,3.2MB,2016年08月20日,1.0
网上购物-团购,班服定制,0,,1590,暂无,Android 2.2.x 以上,589.84KB,2016年08月31日,6.1
网上购物-团购,团购达人,0,北京趣游指尖科技有限公司,8625,暂无,Android 2.0.1 以上,4.44MB,2014年09月02日,1.2.7
网上购物-团购,中国团购在线门户,0,辽宁华诺东方科技有限公司,375,暂无,Android 2.2.x 以上,3.36MB,2014年09月02日,1.1
网上购物-团购,好妈妈团购,0,上海智婷信息技术有限公司,2955,暂无,Android 1.6.0 以上,1.56MB,2014年09月02日,2.2.123.1.1
网上购物-团购-优惠,赶场,0,重庆时迁云计算有限公司,600,暂无,Android 2.2.x 以上,877.93KB,2015年05月05日,v1.8.1.0422
网上购物-商城-团购,馨生活团购,0,,255,暂无,Android 2.1.0 以上,9.56MB,2015年05月20日,2.6.2
网上购物-团购,团VIP,0,,750,暂无,Android 1.6.0 以上,4.91MB,2015年12月09日,04.01.0005
网上购物-商城-团购-优惠,砍多多商户,0,河南砍多多电子商务股份有限公司,800,暂无,Android 4.0.2 以上,11.52MB,2017年01月19日,2.7.0
网上购物-团购,筹啥呢,0,深圳市前海众筹股权服务有限公司,2220,暂无,Android 4.1.x 以上,10.13MB,2017年12月22日,3.1.2
网上购物-团购,沁枫西餐厅,0,,413,暂无,Android 2.2.x 以上,1.36MB,2016年08月20日,1.0
网上购物-团购-优惠,城购汇,0,,30,暂无,Android 2.3.2 以上,3.01MB,2016年08月25日,1.0
网上购物-团购-优惠,酷集,0,六盘水酷集电子商务有限公司,118,暂无,Android 4.1.x 以上,15.87MB,2017年10月23日,1.0.20170424
网上购物-团购,桐梓团购,0,深度网络经济开发有限公司,8325,暂无,Android 2.2.x 以上,3.38MB,2014年09月02日,2.2
网上购物-商城-团购,美顾问会员通,0,湖南美帮网络科技有限公司,4035,暂无,Android 4.0.2 以上,8.47MB,2015年04月28日,2.3.21
网上购物-商城-团购,聚品闪购,0,杭州聚品网络科技有限公司,450,暂无,Android 1.6.0 以上,8.75MB,2014年10月23日,00.00.0137
网上购物-团购,聚惠团购,0,帮学试(北京)科技有限公司,8310,暂无,Android 2.3.2 以上,2.08MB,2015年04月25日,2.0
网上购物-商城-团购-优惠,酷分,0,武汉金益东方科技有限公司,810,暂无,Android 4.0.2 以上,27.29MB,2016年03月29日,2.4.2
网上购物-团购,淮滨团购网,0,,956,暂无,Android 2.2.x 以上,464.84KB,2016年08月25日,v1.9.1.0406
网上购物-商城-团购,团购商城,0,苏州正嘉广告传媒有限公司,1088,暂无,Android 2.2.x 以上,1.66MB,2014年09月02日,1.0
网上购物-商城-团购,大内总管,0,,749,暂无,Android 1.6.0 以上,9.77MB,2015年01月29日,1.0.0
网上购物-团购,浪浪,0,,4095,暂无,Android 4.0.2 以上,7.7MB,2015年12月17日,1.0.2
网上购物-团购,吃喝玩乐温哥华 - Vandiary,0,,1046,暂无,Android 2.3.7 以上,3.93MB,2016年04月26日,1.1.7
网上购物-团购,掌上新农人网,0,,60,暂无,Android 2.2.x 以上,8.11MB,2016年09月04日,1.0
网上购物-商城-团购,小辉夺宝,0,,1047,暂无,Android 2.3.2 以上,4.86MB,2016年09月04日,0.0.4
网上购物-团购,齐啪,0,深圳盛天盟科技有限公司,266,暂无,Android 4.4.4 以上,18.91MB,2018年04月10日,3.0.1
网上购物-团购,一团和气,0,掌上顺德,285,暂无,Android 1.6.0 以上,557.62KB,2014年09月02日,1.1.0
网上购物-团购,高考志愿填报,3,杭州手趣科技有限公司,1.4万,暂无,Android 2.3.7 以上,842.77KB,2014年09月02日,1.5
网上购物-团购,0543团购网,-2,滨州多米网络信息技术有限公司,2730,暂无,Android 2.3.7 以上,5.83MB,2014年11月04日,3.1.8
网上购物-团购,俪人购,8,阿里巴巴俪人购（上海）电子商务有限公司,18.5万,42.00%,Android 4.0.2 以上,9.57MB,2016年06月20日,1.1.0
网上购物-团购,圈圈团购,0,,2835,暂无,Android 2.1.0 以上,6.82MB,2015年03月13日,2.5.3
网上购物-商城-团购-优惠,丁当多商城,0,,759,暂无,Android 3.0.0 以上,7.72MB,2015年12月08日,v1.0.0
网上购物-团购-优惠,长垣团,0,河南省马小马网络科技有限公司,405,暂无,Android 2.3.7 以上,7.59MB,2016年11月21日,4.6.10
网上购物-团购,经视团购会,0,,825,暂无,Android 2.2.x 以上,5.56MB,2016年01月12日,2.0
网上购物-团购,广电商家宝,0,南京广电猫猫新媒体有限公司,532,暂无,Android 2.3.2 以上,4.51MB,2017年11月12日,1.1.4
网上购物-商城-团购,城乡连线,0,安阳牧牛童网络科技有限公司,937,暂无,Android 2.3.2 以上,11.27MB,2016年12月13日,1.1.7
网上购物-商城-团购,国民夺宝,0,温州瑞舟全购科技有限公司,414,暂无,Android 4.0.2 以上,2.22MB,2016年10月26日,1.09
网上购物-团购,青岛啤酒宅急送,0,,1050,暂无,Android 2.2.x 以上,1.77MB,2016年08月29日,2.2.0
网上购物-商城-团购,虚拟航空,0,,281,暂无,Android 1.6.0 以上,1.55MB,2016年08月31日,00.00.0001
网上购物-团购,今团,0,山东金搏传媒,780,暂无,Android 2.2.x 以上,4.66MB,2014年09月02日,v1.5.0
网上购物-商城-团购-优惠,易多团,0,威海新天地文化传媒有限公司,279,暂无,Android 2.1.0 以上,5.48MB,2014年09月05日,v1.6.0
网上购物-商城-团购,李记羊蝎子,0,北京汇点互联科技发展有限公司,1215,暂无,Android 2.3.2 以上,5.16MB,2014年11月10日,1.01
网上购物-商城-团购-优惠,亚龙惠淘商城,0,,225,暂无,Android 2.2.x 以上,1.27MB,2015年11月27日,1.0
网上购物-商城-团购-优惠,松滋秀,0,,824,暂无,Android 2.1.0 以上,833.01KB,2015年11月29日,1.0
网上购物-商城-团购-优惠,幸福女人时尚女装,0,,150,暂无,Android 2.2.x 以上,1.68MB,2015年12月15日,1.0
网上购物-团购,全民英雄开服助手,0,,824,暂无,Android 2.3.7 以上,1.52MB,2016年08月20日,2.2.3
网上购物-团购,聊城团购,0,,1065,暂无,Android 4.0.3 以上,5.35MB,2016年08月26日,5.0.0
网上购物-团购,幸福福鼎,0,杭州前方信息技术有限公司,730,暂无,Android 4.0.2 以上,7.73MB,2017年12月28日,3.4.02
网上购物-团购,嫒美盟,0,沈阳碧美化妆品销售有限公司,160,暂无,Android 4.1.x 以上,18.5MB,2018年03月15日,1.09
网上购物-团购,团购快线,0,starlipse,315,暂无,Android 1.6.0 以上,322.27KB,2014年09月02日,1.0.2
网上购物-商城-团购,葡萄蒸馏酒,0,青岛晨之晖信息服务有限公司,345,暂无,Android 2.2.x 以上,1.79MB,2014年09月10日,1.0
网上购物-团购-优惠,车陛下商家版,0,贵阳马上信息技术有限公司,2910,暂无,Android 2.3.2 以上,4.15MB,2016年11月08日,3.2
网上购物-团购,利川团购,0,,456,暂无,Android 2.2.x 以上,6.18MB,2015年02月27日,1.0.0
网上购物-商城-团购-优惠,小布,0,广州小布网络科技有限公司,1260,暂无,Android 4.0.2 以上,11.48MB,2017年08月17日,2.5.3.0
网上购物-团购-优惠,金丰折扣,1,周小强,975,暂无,Android 2.2.x 以上,653.32KB,2016年02月03日,6.3
网上购物-团购,柳团网,0,,411,暂无,Android 1.5.0 以上,3.44MB,2016年08月24日,1.0
网上购物-商城-团购,麦卓云商,0,重庆麦卓企业管理咨询有限公司,765,暂无,Android 4.0.2 以上,1.38MB,2016年10月12日,1.0
网上购物-团购,一米市集,0,上海原裕商贸有限公司,751,暂无,Android 4.1.x 以上,47.95MB,2018年04月10日,1.6.0
网上购物-团购-优惠,惠南阳,0,南阳星赫文化传媒有限公司,1650,暂无,Android 2.3.2 以上,3.54MB,2014年10月31日,1.6
网上购物-商城-团购,重庆配件,0,重庆冰冰信息科技有限公司,329,暂无,Android 2.2.x 以上,1.14MB,2015年10月16日,1.8
网上购物-团购-优惠,悠品咖啡,0,,285,暂无,Android 2.2.x 以上,2.12MB,2014年12月31日,1.2
网上购物-商城-团购,爱佩宝,1,,974,暂无,Android 1.6.0 以上,3.12MB,2015年01月30日,00.00.0001
网上购物-商城-团购-优惠,易世商城,0,,315,暂无,Android 2.3.2 以上,8.81MB,2015年11月23日,1.1.0
网上购物-商城-团购-优惠,货园甲,0,,510,暂无,Android 2.3.2 以上,10.31MB,2015年11月27日,v2.1.6
网上购物-商城-团购-优惠,银商惠,0,北京联合佳龙科技有限公司,450,暂无,Android 4.0.2 以上,11.8MB,2016年12月29日,1.1.2
网上购物-商城-团购,园林园艺网,0,,189,暂无,Android 2.3.2 以上,2.26MB,2016年08月26日,0.0.86
网上购物-团购,米粒搜,0,王保卫,165,暂无,Android 2.1.0 以上,273.44KB,2014年09月02日,1.2
网上购物-团购,android团购,0,angeeks,701,暂无,Android 1.5.0 以上,152.34KB,2014年09月02日,1.2
网上购物-团购,返利神器,1,郴州七啸网络科技有限公司,2.4万,75.00%,Android 2.2.x 以上,1.33MB,2015年01月26日,1.2
网上购物-商城-团购-优惠,广百川,0,新疆新广百川网络科技有限责任公司,4710,暂无,Android 2.2.x 以上,9.35MB,2015年10月08日,1.0.4
网上购物-团购,拼购,0,,825,暂无,Android 2.2.x 以上,8.56MB,2015年04月16日,1.0
网上购物-商城-团购,笑瑶,0,,763,暂无,Android 4.0.2 以上,3.61MB,2015年05月13日,1.01
网上购物-团购,银瀑宝商户,0,,120,暂无,Android 2.3.2 以上,1.21MB,2016年01月14日,2.0.0
网上购物-团购,佛途,0,中德四方（北京）科技有限公司,1290,暂无,Android 2.1.0 以上,2.17MB,2016年07月05日,1.7
网上购物-团购-优惠,鸢e汇商户版,0,潍坊市农村信用合作社联合社,1080,暂无,Android 2.3.7 以上,7.1MB,2017年04月27日,3.0.3
网上购物-商城-团购,安顺生活购,0,,30,暂无,Android 1.6.0 以上,5.81MB,2016年08月24日,00.01.0002
网上购物-团购,乐山团购网,0,,695,暂无,Android 4.0.3 以上,5.73MB,2016年08月31日,5.0.0
网上购物-团购-优惠,美团,10681,北京三快科技有限公司,2.1亿,66.00%,Android 4.1.x 以上,68.32MB,2018年03月27日,9.1.2
网上购物-商城-优惠,唯品会,2465,唯品会(珠海)电子商务有限公司,7497.4万,87.00%,Android 4.0.2 以上,50.53MB,2018年04月03日,6.15.7
网上购物-团购-优惠,大众点评,2853,汉诚信息技术（上海）有限公司,8463万,96.00%,Android 4.1.x 以上,52.57MB,2018年03月14日,9.10.6
网上购物-商城-优惠,蘑菇街,592,杭州卷瓜网络有限公司,3827.2万,78.00%,Android 4.0.2 以上,33.16MB,2018年04月02日,10.5.0.9858
网上购物-优惠,券宝贝,61,上海炫霜电子商务有限公司,43.2万,85.00%,Android 4.1.x 以上,29.93MB,2018年04月02日,1.4.1
网上购物-商城-团购-优惠,当当,110,北京当当科文电子商务有限公司,1786.2万,55.00%,Android 4.0.2 以上,33.2MB,2018年04月08日,8.4.0
网上购物-优惠,淘宝特价版,26,淘宝（中国）软件有限公司,22.9万,81.00%,Android 4.0.2 以上,19.26MB,2018年04月08日,2.1.8
网上购物-优惠,返利省钱联盟,103,广州佰源科技有限公司,20.1万,100.00%,Android 2.3.2 以上,15.32MB,2018年04月02日,1.7.0
网上购物-商城-团购-优惠-全球导购,一淘,5127,淘宝（中国）软件有限公司,1302.1万,90.00%,Android 4.0.3 以上,21.45MB,2018年04月04日,8.4.2
网上购物-优惠,省啦啦,829,杭州恩强科技有限公司,36.4万,100.00%,Android 4.3.x 以上,13.78MB,2018年04月03日,1.6.0
网上购物-商城-优惠,贝贝,196,杭州互秀电子商务有限公司,1085.2万,68.00%,Android 4.0.2 以上,34.19MB,2018年03月29日,7.5.02
网上购物-优惠,微拍堂,1,杭州微拍堂文化创意有限公司,25万,暂无,Android 4.3.x 以上,8.92MB,2018年03月29日,1.4.0
网上购物-优惠-全球导购,网易考拉海购,441,杭州优买科技有限公司,1122.8万,96.00%,Android 4.1.x 以上,35.26MB,2018年03月23日,3.13.1
网上购物-团购-优惠,返利,4317,上海中彦信息科技有限公司,1762.8万,91.00%,Android 4.0.2 以上,39.23MB,2018年03月22日,6.7.0
网上购物-优惠,省钱快报,11,北京云动九天科技有限公司,108.8万,92.00%,Android 4.0.2 以上,15.25MB,2018年04月08日,2.6.3
网上购物-商城-优惠,千牛,289,淘宝（中国）软件有限公司,1998.8万,38.00%,Android 4.1.x 以上,54.86MB,2018年03月27日,6.6.6
网上购物-商城-优惠,多点,69,多点生活（中国）网络科技有限公司,158.2万,78.00%,Android 4.1.x 以上,18.19MB,2018年04月04日,3.8.5
网上购物-优惠,熊猫优选,59,杭州铕璨网络科技有限公司,99.4万,84.00%,Android 4.1.x 以上,8.1MB,2018年04月02日,1.5.6
网上购物-商城-优惠,一折特卖,2408,厦门三零零网络科技有限公司,1267.7万,93.00%,Android 2.3.2 以上,15.24MB,2018年03月15日,2.6.4
网上购物-优惠,招联金融,364,招联消费金融有限公司,236.3万,90.00%,Android 4.1.x 以上,34.46MB,2018年03月13日,4.7.0
网上购物-优惠,王者皮肤盒子,4,菠萝万象（北京）科技有限公司,15.4万,暂无,Android 4.0.3 以上,12.1MB,2017年11月08日,1.0.1
网上购物-优惠,优惠券精选,2,南京米思游信息技术有限公司,101.5万,暂无,Android 4.0.3 以上,6.71MB,2017年11月03日,1.2.0
网上购物-团购-优惠,百度糯米,10499,北京百度糯米信息技术有限公司,7033.7万,96.00%,Android 4.3.x 以上,31.5MB,2018年03月20日,8.2.1
网上购物-优惠,淘粉吧,1784,杭州雷讯网络技术股份有限公司,1187.7万,83.00%,Android 4.0.2 以上,25.41MB,2018年03月19日,10.02
网上购物-商城-团购-优惠,楚楚街,215,北京醋溜网络科技股份有限公司,824.9万,53.00%,Android 4.1.x 以上,38.17MB,2018年03月29日,3.22
网上购物-优惠,网购联盟,729,广州市洛山贸易有限公司,74.2万,100.00%,Android 2.3.2 以上,15.2MB,2018年03月15日,4.2.0
网上购物-优惠,返利淘联盟,148,广州星源科技有限公司,36万,100.00%,Android 2.3.2 以上,15.43MB,2018年03月15日,2.6.0
网上购物-优惠,消费者联盟,27,深圳市海纳联达实业有限公司,32万,83.00%,Android 4.3.x 以上,13.13MB,2018年03月31日,1.5.0
网上购物-商城-优惠,优分期,373,北京和创未来网络科技有限公司,153.5万,89.00%,Android 4.0.2 以上,10.59MB,2018年01月16日,6.2.2
网上购物-商城-团购-优惠,折800,2128,团博百众（北京）科技有限公司,2404.3万,51.00%,Android 4.1.x 以上,26.2MB,2018年03月14日,4.35.0
网上购物-优惠,零用钱,718,北京零用钱科技有限公司,488.5万,77.00%,Android 4.0.2 以上,4.83MB,2018年02月12日,5.2.6000
网上购物-优惠,爱返特卖,74,深圳爱萍网络科技有限公司,116.5万,60.00%,Android 2.3.2 以上,17.66MB,2018年04月08日,2.2.3
网上购物-优惠,识货,766,虎扑（上海）文化传播股份有限公司,478.7万,88.00%,Android 4.1.x 以上,28.17MB,2018年03月27日,5.4.2
网上购物-商城-优惠,华为商城,87,华为终端（东莞）有限公司,864.7万,57.00%,Android 4.0.2 以上,10.73MB,2018年03月27日,1.6.4.0
网上购物-优惠,农业银行信用卡管家,48,上海彩亿互联网金融信息服务有限公司,71.2万,96.00%,Android 4.0.2 以上,19.52MB,2017年10月18日,3.2.5
网上购物-商城-优惠,聚美优品,210,北京创锐文化传媒有限公司,2235.3万,40.00%,Android 4.1.x 以上,41.08MB,2018年03月28日,5.827
网上购物-优惠,51返呗,3857,浙江阿拉丁电子商务股份有限公司,84.5万,99.00%,Android 4.4.4 以上,29.36MB,2018年04月09日,4.1.1
网上购物-优惠,指上返,68,常州恒晟网络科技有限公司,4.4万,100.00%,Android 2.3.2 以上,15.61MB,2018年03月14日,2.6.0
网上购物-商城-优惠,YohoBuy有货,56,南京新与力文化传播有限公司,251.6万,68.00%,Android 4.1.x 以上,50.11MB,2018年03月29日,6.5.3
网上购物-优惠,特价惠,191,厦门墨芓信息科技有限公司,144万,56.00%,Android 4.0.2 以上,5.79MB,2018年03月12日,2.3.8
网上购物-优惠,堆糖,258,堆糖信息科技,509.8万,75.00%,Android 4.1.x 以上,21.8MB,2018年03月29日,6.14.1
网上购物-优惠,券妈妈优惠券,1769,安徽省志鹄信息科技有限公司,566.2万,94.00%,Android 4.0.2 以上,9.25MB,2018年04月02日,5.1.6
网上购物-商城-优惠,1号店,37,纽海信息技术（上海）有限公司,1754.9万,49.00%,Android 4.1.x 以上,24.74MB,2018年03月05日,5.2.4
网上购物-团购-优惠,聚划算,218,浙江天猫技术有限公司,1363.5万,36.00%,Android 4.0.2 以上,22.49MB,2018年03月29日,5.32.0
网上购物-优惠,一起买买买,4,北京昆达天元科技股份有限公司,21.7万,45.00%,Android 4.0.2 以上,8.11MB,2018年03月27日,1.98
网上购物-优惠,赚钱联盟,0,邢台松树网络科技有限公司,2.2万,暂无,Android 2.3.2 以上,13.94MB,2018年03月13日,4.2.0
网上购物-商城-优惠,波奇宠物,519,光橙上海信息科技有限公司,496.8万,48.00%,Android 4.0.3 以上,27.91MB,2018年03月28日,3.8.1
网上购物-优惠,券网通,0,赣州奥森网络科技有限公司,2万,暂无,Android 2.3.2 以上,14.97MB,2018年03月15日,1.6.0
网上购物-商城-优惠,寺库,2420,北京寺库商贸有限公司,189.5万,99.00%,Android 4.1.x 以上,51.79MB,2018年03月13日,5.9.12
网上购物-优惠,什么值得买,2796,北京值得买科技股份有限公司,813万,99.00%,Android 4.2.x 以上,27.88MB,2018年03月26日,8.7.2
网上购物-优惠,美逛,273,杭州四禾电子商务有限公司,6.9万,96.00%,Android 4.1.x 以上,12.86MB,2018年02月07日,3.3.6
网上购物-优惠,好便宜,6,北京九州云动科技有限公司,10.2万,100.00%,Android 4.0.2 以上,14.47MB,2018年04月09日,1.3.8
网上购物-商城-团购-优惠,柚子街,222,厦门美柚信息科技有限公司,134.4万,97.00%,Android 4.0.3 以上,23.05MB,2018年02月07日,2.4.9
网上购物-优惠,精品街9块9,706,上海小鬼网络科技有限公司,183.3万,88.00%,Android 4.1.x 以上,9.89MB,2018年04月02日,5.0.6
网上购物-优惠,爱淘宝,67,淘宝中国软件有限公司,204万,暂无,Android 2.3.7 以上,7.15MB,2015年11月04日,1.8.1
网上购物-商城-优惠,蜜芽宝贝,85,北京花旺在线商贸有限公司,309.9万,51.00%,Android 4.0.2 以上,25.86MB,2018年03月29日,6.1.5
网上购物-优惠,麻吉宝,642,杭州阿里妈妈软件服务有限公司,172.8万,9.00%,Android 4.0.2 以上,13.75MB,2016年10月09日,7.2.0
网上购物-团购-优惠,穿衣助手,844,上海优梦信息科技有限公司,791.5万,57.00%,Android 4.1.x 以上,42.56MB,2018年03月26日,11.13.1
网上购物-优惠,好省,106,杭州嘉洁网络科技有限公司,4.4万,100.00%,Android 4.0.3 以上,11MB,2018年04月03日,2.0.6.0
网上购物-商城-优惠,利趣网,414,杭州小葵科技有限公司,554.6万,60.00%,Android 4.0.3 以上,6.15MB,2018年03月23日,2.9.2
网上购物-小工具-优惠,卷皮9.9包邮,1813,武汉奇米网络科技有限公司,833.5万,94.00%,Android 4.0.2 以上,23.56MB,2018年03月19日,4.7.7
网上购物-优惠,我有券,0,上海我有券电子商务有限公司,1.8万,暂无,Android 4.0.2 以上,9.19MB,2018年03月22日,1.4.0
网上购物-优惠,如意贝,13,桂林如意贝信息科技有限公司,1.1万,100.00%,Android 4.0.3 以上,21.71MB,2018年04月10日,1.2.2
网上购物-优惠,派派红包（新年版）,416,东莞市小陀螺网络科技有限公司,14.2万,97.00%,Android 4.1.x 以上,6.49MB,2018年04月04日,2.3
网上购物-优惠,e城e家,82,一城一家网络科技有限公司,44.3万,94.00%,Android 4.0.2 以上,16.51MB,2018年02月11日,5.4.0
网上购物-商城-优惠,美丽说,469,美丽联合（北京）科技有限公司,1210.6万,80.00%,Android 4.0.2 以上,35.78MB,2018年04月02日,9.5.0.2024
